IPMI,eth0,eth1,eth2,eth3,eth4,eth5,eth6,eth7
172.18.214.1,7C:A2:3E:89:4B:C8,7C:A2:3E:89:4B:C9,7C:A2:3E:89:4B:CA,7C:A2:3E:89:4B:CB,,          ,,7C:A2:3E:89:4B:C9
172.18.214.2,7C:A2:3E:89:4E:90,7C:A2:3E:89:4E:91,7C:A2:3E:89:4E:92,7C:A2:3E:89:4E:93,,          ,,7C:A2:3E:89:4E:91
172.18.214.3, 7C:A2:3E:89:50:7C, 7C:A2:3E:89:50:7D, 7C:A2:3E:89:50:7E, 7C:A2:3E:89:50:7F,,                 , 7C:A2:3E:89:50:7C, 7C:A2:3E:89:50:7D
172.18.214.4,7C:A2:3E:89:4B:D4,7C:A2:3E:89:4B:D5,7C:A2:3E:89:4B:D6,7C:A2:3E:89:4B:D7,,                 ,7C:A2:3E:89:4B:D4,7C:A2:3E:89:4B:D5
172.18.214.5,7C:A2:3E:89:4C:1C,7C:A2:3E:89:4C:1D,7C:A2:3E:89:4C:1E,7C:A2:3E:89:4C:1F,,                 ,7C:A2:3E:89:4C:1C,7C:A2:3E:89:4C:1D
172.18.214.6,7C:A2:3E:89:50:8C,7C:A2:3E:89:50:8D,7C:A2:3E:89:50:8E,7C:A2:3E:89:50:8F,,                 ,7C:A2:3E:89:50:8C,7C:A2:3E:89:50:8D
172.18.214.7,7C:A2:3E:89:4B:A4,7C:A2:3E:89:4B:A5,7C:A2:3E:89:4B:A6,7C:A2:3E:89:4B:A7,,                 ,7C:A2:3E:89:4B:A4,7C:A2:3E:89:4B:A5
172.18.214.8,7C:A2:3E:89:4B:AC,7C:A2:3E:89:4B:AD,7C:A2:3E:89:4B:AE,7C:A2:3E:89:4B:AF,FC:E3:3C:B0:88:82,FC:E3:3C:B0:88:83,7C:A2:3E:89:4B:AC,7C:A2:3E:89:4B:AD
172.18.214.9,7C:A2:3E:8D:34:44,7C:A2:3E:8D:34:45,7C:A2:3E:8D:34:46,7C:A2:3E:8D:34:47,7C:A2:3E:E9:DA:30,7C:A2:3E:E9:DA:31,7C:A2:3E:8D:34:44,7C:A2:3E:8D:34:45
172.18.214.10,7C:A2:3E:8D:36:6C,7C:A2:3E:8D:36:6D,7C:A2:3E:8D:36:6E,7C:A2:3E:8D:36:6F,7C:A2:3E:E9:D6:9C,7C:A2:3E:E9:D6:9D,7C:A2:3E:8D:36:6C,7C:A2:3E:8D:36:6D
172.18.214.11,7C:A2:3E:8D:34:54,7C:A2:3E:8D:34:55,7C:A2:3E:8D:34:56,7C:A2:3E:8D:34:57,7C:A2:3E:E9:D6:AA,7C:A2:3E:E9:D6:AB,7C:A2:3E:8D:34:54,7C:A2:3E:8D:34:55
172.18.214.12,7C:A2:3E:8D:34:78,7C:A2:3E:8D:34:79,7C:A2:3E:8D:34:7A,7C:A2:3E:8D:34:7B,7C:A2:3E:E9:DA:52,7C:A2:3E:E9:DA:53,7C:A2:3E:8D:34:78,7C:A2:3E:8D:34:79
172.18.214.13,7C:A2:3E:8D:34:64,7C:A2:3E:8D:34:65,7C:A2:3E:8D:34:66,7C:A2:3E:8D:34:67,7C:A2:3E:E9:D7:12,7C:A2:3E:E9:D7:13,7C:A2:3E:8D:34:64,7C:A2:3E:8D:34:65
172.18.214.14,7C:A2:3E:8D:36:A0,7C:A2:3E:8D:36:A1,7C:A2:3E:8D:36:A2,7C:A2:3E:8D:36:A3,7C:A2:3E:E9:D6:A4,7C:A2:3E:E9:D6:A5,7C:A2:3E:8D:36:A0,7C:A2:3E:8D:36:A1
172.18.214.15,7C:A2:3E:8D:34:2C,7C:A2:3E:8D:34:2D,7C:A2:3E:8D:34:2E,7C:A2:3E:8D:34:2F,7C:A2:3E:E9:DA:44,7C:A2:3E:E9:DA:45,7C:A2:3E:8D:34:2C,7C:A2:3E:8D:34:2D
172.18.214.16, 7C:A2:3E:8D:34:4C, 7C:A2:3E:8D:34:4D, 7C:A2:3E:8D:34:4E, 7C:A2:3E:8D:34:4F,7C:A2:3E:E9:D8:9A,7C:A2:3E:E9:D8:9B, 7C:A2:3E:8D:34:4C, 7C:A2:3E:8D:34:4D
172.18.214.17,7C:A2:3E:8D:36:78,7C:A2:3E:8D:36:79,7C:A2:3E:8D:36:7A,7C:A2:3E:8D:36:7B,7C:A2:3E:E9:D7:22,7C:A2:3E:E9:D7:23,7C:A2:3E:8D:36:78,7C:A2:3E:8D:36:79
172.18.214.18,7C:A2:3E:8D:34:40,7C:A2:3E:8D:34:41,7C:A2:3E:8D:34:42,7C:A2:3E:8D:34:43,7C:A2:3E:E9:DA:46,7C:A2:3E:E9:DA:47,7C:A2:3E:8D:34:40,7C:A2:3E:8D:34:41
172.18.214.19,7C:A2:3E:8D:34:60,7C:A2:3E:8D:34:61,7C:A2:3E:8D:34:62,7C:A2:3E:8D:34:63,7C:A2:3E:E9:D8:86,7C:A2:3E:E9:D8:87,7C:A2:3E:8D:34:60,7C:A2:3E:8D:34:61
172.18.214.20,7C:A2:3E:89:4B:B0,7C:A2:3E:89:4B:B1,7C:A2:3E:89:4B:B2,7C:A2:3E:89:4B:B3,FC:E3:3C:B0:89:45,FC:E3:3C:B0:89:46,7C:A2:3E:89:4B:B0,
172.18.214.21,7C:A2:3E:8D:32:EC,7C:A2:3E:8D:32:ED,7C:A2:3E:8D:32:EE,7C:A2:3E:8D:32:EF,,,7C:A2:3E:8D:32:EC,
172.18.214.22,7C:A2:3E:89:4B:C0,7C:A2:3E:89:4B:C1,7C:A2:3E:89:4B:C2,7C:A2:3E:89:4B:C3,,,7C:A2:3E:89:4B:C0,
172.18.214.23,7C:A2:3E:89:4C:10,7C:A2:3E:89:4C:11,7C:A2:3E:89:4C:12,7C:A2:3E:89:4C:13,,,7C:A2:3E:89:4C:10,
172.18.214.24,7C:A2:3E:89:4B:BC,7C:A2:3E:89:4B:BD,7C:A2:3E:89:4B:BE,7C:A2:3E:89:4B:BF,,,7C:A2:3E:89:4B:BC,
172.18.214.25,7C:A2:3E:8D:34:34,7C:A2:3E:8D:34:35,7C:A2:3E:8D:34:36,7C:A2:3E:8D:34:37,7C:A2:3E:E9:DA:2E,7C:A2:3E:E9:DA:2F,7C:A2:3E:8D:34:34,
172.18.214.26,7C:A2:3E:8D:34:20,7C:A2:3E:8D:34:21,7C:A2:3E:8D:34:22,7C:A2:3E:8D:34:23,7C:A2:3E:E9:D7:F0,7C:A2:3E:E9:D7:F1,7C:A2:3E:8D:34:20,
172.18.214.27,7C:A2:3E:8B:70:C8,7C:A2:3E:8B:70:C9,7C:A2:3E:8B:70:CA,7C:A2:3E:8B:70:CB,7C:A2:3E:E9:DA:40,7C:A2:3E:E9:DA:41,7C:A2:3E:8B:70:C8,
172.18.214.28,7C:A2:3E:89:4C:24,7C:A2:3E:89:4C:25,7C:A2:3E:89:4C:26,7C:A2:3E:89:4C:27,FC:E3:3C:B0:89:49,FC:E3:3C:B0:89:4A,7C:A2:3E:89:4C:24,
172.18.214.29,7C:A2:3E:89:4C:20,7C:A2:3E:89:4C:21,7C:A2:3E:89:4C:22,7C:A2:3E:89:4C:23,FC:E3:3C:B0:89:4B,FC:E3:3C:B0:89:4C,7C:A2:3E:89:4C:20,
172.18.214.30,7C:A2:3E:89:4B:C4,7C:A2:3E:89:4B:C5,7C:A2:3E:89:4B:C6,7C:A2:3E:89:4B:C7,,,,
